game_ID,year,host_country,stage,team,pre_penalties_score,won,winner_took_first_penalty,penalty_round,kick_in_round,penalty_scored,penalty_kicker
17,2006,Germany,Second round,Ukraine,0,True,True,2,1,True,Artem Milevskiy
18,2006,Germany,Quarter-finals,Germany,1,True,True,2,1,True,Michael Ballack
19,2006,Germany,Quarter-finals,Portugal,0,True,True,2,1,False,Hugo Viana
20,2006,Germany,Final,Italy,1,True,True,2,1,True,Marco Materazzi
21,2010,South Africa,Second round,Paraguay,0,True,True,2,1,True,Lucas Barrios
22,2010,South Africa,Quarter-finals,Uruguay,1,True,True,2,1,True,Mauricio Victorino
23,2014,Brazil,Second round,Brazil,1,True,True,2,1,False,Willian
24,2014,Brazil,Second round,Costa Rica,1,True,True,2,1,True,Bryan Ruiz
25,2014,Brazil,Quarter-finals,Netherlands,0,True,False,2,2,True,Arjen Robben
26,2014,Brazil,Semi-finals,Argentina,0,True,False,2,2,True,Ezequiel Garay
27,2018,Russia,Second round,Russia,1,True,False,2,2,True,Sergei Ignashevich
28,2018,Russia,Second round,Croatia,1,True,False,2,2,True,Andrej Kramarić
29,2018,Russia,Second round,England,1,True,False,2,2,True,Marcus Rashford
30,2018,Russia,Quarter-finals,Croatia,2,True,False,2,2,False,Mateo Kovačić
1,1982,Spain,Semi-finals,France,3,False,False,2,1,True,Manuel Amoros
2,1986,Mexico,Quarter-finals,Brazil,1,False,False,2,1,True,Alemão
3,1986,Mexico,Quarter-finals,Mexico,0,False,True,2,2,False,Fernando Quirarte
4,1986,Mexico,Quarter-finals,Spain,1,False,False,2,1,False,Eloy Olaya
5,1990,Italy,Second round,Romania,0,False,False,2,1,True,Dănuț Lupu
6,1990,Italy,Quarter-finals,Yugoslavia,0,False,True,2,2,True,Robert Prosinečki
7,1990,Italy,Quarter-finals,Italy,1,False,False,2,1,True,Roberto Baggio
8,1990,Italy,Quarter-finals,England,1,False,False,2,1,True,Peter Beardsley
9,1994,USA,Second round,Mexico,1,False,False,2,1,False,Marcelino Bernal
10,1994,USA,Quarter-finals,Romania,2,False,True,2,2,True,Gheorghe Hagi
11,1994,USA,Final,Italy,0,False,False,2,1,True,Demetrio Albertini
12,1998,France,Second round,England,2,False,True,2,2,False,Paul Ince
13,1998,France,Quarter-finals,Italy,0,False,True,2,2,False,Demetrio Albertini
14,1998,France,Semi-finals,Netherlands,1,False,True,2,2,True,Dennis Bergkamp
15,2002,Korea/Japan,Second round,Republic of Ireland,1,False,False,2,1,False,Matt Holland
16,2002,Korea/Japan,Quarter-finals,Spain,0,False,True,2,2,True,Rubén Baraja
17,2006,Germany,Second round,Switzerland,0,False,True,2,2,False,Tranquillo Barnetta
18,2006,Germany,Quarter-finals,Argentina,1,False,True,2,2,False,Roberto Ayala
19,2006,Germany,Quarter-finals,England,0,False,True,2,2,True,Owen Hargreaves
20,2006,Germany,Final,France,1,False,True,2,2,False,David Trezeguet
21,2010,South Africa,Second round,Japan,0,False,True,2,2,True,Makoto Hasebe
22,2010,South Africa,Quarter-finals,Ghana,1,False,True,2,2,True,Stephen Appiah
23,2014,Brazil,Second round,Chile,1,False,True,2,2,False,Alexis Sánchez
24,2014,Brazil,Second round,Greece,1,False,True,2,2,True,Lazaros Christodoulopoulos
25,2014,Brazil,Quarter-finals,Costa Rica,0,False,False,2,1,False,Bryan Ruiz
26,2014,Brazil,Semi-finals,Netherlands,0,False,False,2,1,True,Arjen Robben
27,2018,Russia,Second round,Spain,1,False,False,2,1,True,Gerard Piqué
28,2018,Russia,Second round,Denmark,1,False,False,2,1,True,Simon Kjær
